Repetition;Support Vector Machine;Decision Tree;Random Forest;k-Nearest-Neighbor;Logistic Regression;Gaussian Naive Bayes;Perceptron;Feed-forward Neural Network
1;1,0;0,7333333333333333;0,9595959595959596;1,0;1,0;1,0;1,0;1,0
2;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
3;1,0;0,7742946708463951;0,8366300366300367;1,0;1,0;1,0;0,8933333333333333;1,0
4;1,0;1,0;1,0;1,0;0,9595959595959596;1,0;0,9166666666666665;1,0
5;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
6;1,0;0,9799498746867168;1,0;1,0;1,0;1,0;0,9386189258312021;0,9166666666666665
7;1,0;1,0;1,0;0,9799498746867168;1,0;1,0;1,0;1,0
8;1,0;1,0;1,0;1,0;1,0;1,0;1,0;0,9595959595959596
9;1,0;1,0;1,0;0,9386189258312021;1,0;1,0;0,7333333333333333;1,0
Mean;1,0;0,9430642087629385;0,9773584440251106;0,9909520889464355;0,9955106621773288;1,0;0,9424391399071705;0,9862514029180696
Std.Dev.;0,0;0,010364539481157136;0,00263427454442201;0,0003814290601438762;0,00016123323268852667;0,0;0,00704241067420137;0,0007639684033249341
Min;1,0;0,7333333333333333;0,8366300366300367;0,9386189258312021;0,9595959595959596;1,0;0,7333333333333333;0,9166666666666665
Max;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
