Repetition;Support Vector Machine;Decision Tree;Random Forest;k-Nearest-Neighbor;Logistic Regression;Gaussian Naive Bayes;Perceptron;Feed-forward Neural Network
1;1,0;0,861111111111111;1,0;1,0;1,0;1,0;1,0;1,0
2;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
3;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
4;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
5;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
6;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
7;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
8;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
9;1,0;0,7802197802197803;1,0;1,0;1,0;1,0;1,0;1,0
Mean;1,0;0,9601478768145435;1,0;1,0;1,0;1,0;1,0;1,0
Std.Dev.;0,0;0,005922193662436955;0,0;0,0;0,0;0,0;0,0;0,0
Min;1,0;0,7802197802197803;1,0;1,0;1,0;1,0;1,0;1,0
Max;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
