Repetition;Support Vector Machine;Decision Tree;Random Forest;k-Nearest-Neighbor;Logistic Regression;Gaussian Naive Bayes;Perceptron;Feed-forward Neural Network
1;1,0;0,8666666666666667;1,0;1,0;1,0;1,0;1,0;1,0
2;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
3;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
4;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
5;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
6;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
7;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
8;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
9;1,0;0,8;1,0;1,0;1,0;1,0;1,0;1,0
Mean;1,0;0,9629629629629631;1,0;1,0;1,0;1,0;1,0;1,0
Std.Dev.;0,0;0,005048010973936898;0,0;0,0;0,0;0,0;0,0;0,0
Min;1,0;0,8;1,0;1,0;1,0;1,0;1,0;1,0
Max;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
