Repetition;Support Vector Machine;Decision Tree;Random Forest;k-Nearest-Neighbor;Logistic Regression;Gaussian Naive Bayes;Perceptron;Feed-forward Neural Network
1;1,0;0,8;0,96;1,0;1,0;1,0;1,0;1,0
2;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
3;1,0;0,82;0,86;1,0;1,0;1,0;0,9;1,0
4;1,0;1,0;1,0;1,0;0,96;1,0;0,92;1,0
5;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
6;1,0;0,98;1,0;1,0;1,0;1,0;0,94;0,92
7;1,0;1,0;1,0;0,98;1,0;1,0;1,0;1,0
8;1,0;1,0;1,0;1,0;1,0;1,0;1,0;0,96
9;1,0;1,0;1,0;0,94;1,0;1,0;0,8;1,0
Mean;1,0;0,9555555555555555;0,98;0,991111111111111;0,9955555555555556;1,0;0,9511111111111111;0,9866666666666666
Std.Dev.;0,0;0,00611358024691358;0,0019555555555555563;0,0003654320987654328;0,000158024691358025;0,0;0,004276543209876541;0,0007111111111111108
Min;1,0;0,8;0,86;0,94;0,96;1,0;0,8;0,92
Max;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
